,Kontrakt,Termin wygasania,Otwarcie,Max,Min,Kurs,Zmiana,Wolumen (poprz. sesja),LOP (poprz. sesja),Zmiana LOP,Data
0,GVH25.F,mar 2025,49.089,49.089,49.089,49.089,-1.90%,0.0,1664.0,0.0,19 lut
1,GVJ25.F,kwi 2025,49.28,49.28,49.28,49.28,-1.79%,0.0,1031.0,0.0,19 lut
2,GVK25.F,maj 2025,49.253,49.253,49.253,49.253,-1.76%,0.0,971.0,0.0,19 lut
3,GVM25.F,cze 2025,49.291,49.291,49.291,49.291,-1.80%,0.0,1076.0,0.0,19 lut
4,GVN25.F,lip 2025,49.257,49.257,49.257,49.257,-1.74%,0.0,926.0,0.0,19 lut
5,GVQ25.F,sie 2025,49.246,49.246,49.246,49.246,-1.68%,0.0,926.0,0.0,19 lut
6,GVU25.F,wrz 2025,49.101,49.101,49.101,49.101,-1.62%,0.0,926.0,0.0,19 lut
7,GVV25.F,paź 2025,49.406,49.406,49.406,49.406,-1.38%,0.0,1551.0,0.0,19 lut
8,GVX25.F,lis 2025,47.563,47.563,47.563,47.563,-1.38%,0.0,1476.0,0.0,19 lut
9,GVZ25.F,gru 2025,46.938,46.938,46.938,46.938,-1.25%,0.0,1476.0,0.0,19 lut
10,GVF26.F,sty 2026,46.256,46.256,46.256,46.256,-1.29%,0.0,1021.0,0.0,19 lut
11,GVG26.F,lut 2026,46.655,46.655,46.655,46.655,-1.34%,0.0,1021.0,0.0,19 lut
12,GVH26.F,mar 2026,45.143,45.143,45.143,45.143,-1.38%,0.0,1021.0,0.0,19 lut
13,GVJ26.F,kwi 2026,39.198,39.198,39.198,39.198,-1.33%,0.0,575.0,0.0,19 lut
14,GVK26.F,maj 2026,37.834,37.834,37.834,37.834,-1.38%,0.0,575.0,0.0,19 lut
15,GVM26.F,cze 2026,37.574,37.574,37.574,37.574,-1.39%,0.0,575.0,0.0,19 lut
16,GVN26.F,lip 2026,37.248,37.248,37.248,37.248,-1.43%,0.0,575.0,0.0,19 lut
17,GVQ26.F,sie 2026,36.915,36.915,36.915,36.915,-1.42%,0.0,575.0,0.0,19 lut
18,GVU26.F,wrz 2026,36.94,36.94,36.94,36.94,-1.42%,0.0,575.0,0.0,19 lut
19,GVV26.F,paź 2026,38.328,38.328,38.328,38.328,-1.29%,0.0,500.0,0.0,19 lut
20,GVX26.F,lis 2026,37.935,37.935,37.935,37.935,-1.04%,0.0,500.0,0.0,19 lut
21,GVZ26.F,gru 2026,37.244,37.244,37.244,37.244,-1.01%,0.0,500.0,0.0,19 lut
22,GVF27.F,sty 2027,37.683,37.683,37.683,37.683,-0.89%,0.0,285.0,0.0,19 lut
23,GVG27.F,lut 2027,37.068,37.068,37.068,37.068,-0.91%,0.0,285.0,0.0,19 lut
24,GVH27.F,mar 2027,36.117,36.117,36.117,36.117,-0.93%,0.0,285.0,0.0,19 lut
25,GVJ27.F,kwi 2027,31.493,31.493,31.493,31.493,-0.93%,0.0,230.0,0.0,19 lut
26,GVK27.F,maj 2027,30.233,30.233,30.233,30.233,-0.97%,0.0,230.0,0.0,19 lut
27,GVM27.F,cze 2027,30.099,30.099,30.099,30.099,-0.97%,0.0,230.0,0.0,19 lut
28,GVN27.F,lip 2027,31.146,31.146,31.146,31.146,-1.04%,0.0,230.0,0.0,19 lut
29,GVQ27.F,sie 2027,31.091,31.091,31.091,31.091,-1.04%,0.0,230.0,0.0,19 lut
